h-5,h-5 href,truncate href,mx-2,text-yellow,text-olive,text-pink
696. Count Binary Substrings,https://leetcode.com/problems/count-binary-substrings,https://leetcode.com/problems/count-binary-substrings/solution,64.6%,,Easy,
697. Degree of an Array,https://leetcode.com/problems/degree-of-an-array,https://leetcode.com/problems/degree-of-an-array/solution,55.6%,,Easy,
698. Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/solution,44.9%,Medium,,
699. Falling Squares,https://leetcode.com/problems/falling-squares,https://leetcode.com/problems/falling-squares/solution,43.7%,,,Hard
700. Search in a Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree,https://leetcode.com/problems/search-in-a-binary-search-tree/solution,75.2%,,Easy,
701. Insert into a Binary Search Tree,https://leetcode.com/problems/insert-into-a-binary-search-tree,https://leetcode.com/problems/insert-into-a-binary-search-tree/solution,75.0%,Medium,,
702. Search in a Sorted Array of Unknown Size,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/solution,70.5%,Medium,,
703. Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/solution,52.6%,,Easy,
704. Binary Search,https://leetcode.com/problems/binary-search,https://leetcode.com/problems/binary-search/solution,54.6%,,Easy,
705. Design HashSet,https://leetcode.com/problems/design-hashset,https://leetcode.com/problems/design-hashset/solution,63.8%,,Easy,
706. Design HashMap,https://leetcode.com/problems/design-hashmap,https://leetcode.com/problems/design-hashmap/solution,63.8%,,Easy,
707. Design Linked List,https://leetcode.com/problems/design-linked-list,https://leetcode.com/problems/design-linked-list/solution,26.9%,Medium,,
708. Insert into a Sorted Circular Linked List,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/solution,34.2%,Medium,,
709. To Lower Case,https://leetcode.com/problems/to-lower-case,https://leetcode.com/problems/to-lower-case/solution,81.2%,,Easy,
710. Random Pick with Blacklist,https://leetcode.com/problems/random-pick-with-blacklist,https://leetcode.com/problems/random-pick-with-blacklist/solution,33.2%,,,Hard
711. Number of Distinct Islands II,https://leetcode.com/problems/number-of-distinct-islands-ii,,50.9%,,,Hard
712. Minimum ASCII Delete Sum for Two Strings,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/solution,61.4%,Medium,,
713. Subarray Product Less Than K,https://leetcode.com/problems/subarray-product-less-than-k,https://leetcode.com/problems/subarray-product-less-than-k/solution,43.3%,Medium,,
714. Best Time to Buy and Sell Stock with Transaction Fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/solution,61.6%,Medium,,
715. Range Module,https://leetcode.com/problems/range-module,,43.4%,,,Hard
716. Max Stack,https://leetcode.com/problems/max-stack,https://leetcode.com/problems/max-stack/solution,44.9%,,Easy,
717. 1-bit and 2-bit Characters,https://leetcode.com/problems/1-bit-and-2-bit-characters,,46.2%,,Easy,
718. Maximum Length of Repeated Subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray/solution,51.3%,Medium,,
719. Find K-th Smallest Pair Distance,https://leetcode.com/problems/find-k-th-smallest-pair-distance,https://leetcode.com/problems/find-k-th-smallest-pair-distance/solution,34.8%,,,Hard
720. Longest Word in Dictionary,https://leetcode.com/problems/longest-word-in-dictionary,https://leetcode.com/problems/longest-word-in-dictionary/solution,50.8%,Medium,,
721. Accounts Merge,https://leetcode.com/problems/accounts-merge,https://leetcode.com/problems/accounts-merge/solution,55.5%,Medium,,
722. Remove Comments,https://leetcode.com/problems/remove-comments,,37.3%,Medium,,
723. Candy Crush,https://leetcode.com/problems/candy-crush,https://leetcode.com/problems/candy-crush/solution,74.9%,Medium,,
724. Find Pivot Index,https://leetcode.com/problems/find-pivot-index,https://leetcode.com/problems/find-pivot-index/solution,51.0%,,Easy,
725. Split Linked List in Parts,https://leetcode.com/problems/split-linked-list-in-parts,https://leetcode.com/problems/split-linked-list-in-parts/solution,56.6%,Medium,,
726. Number of Atoms,https://leetcode.com/problems/number-of-atoms,https://leetcode.com/problems/number-of-atoms/solution,51.7%,,,Hard
727. Minimum Window Subsequence,https://leetcode.com/problems/minimum-window-subsequence,,42.9%,,,Hard
728. Self Dividing Numbers,https://leetcode.com/problems/self-dividing-numbers,https://leetcode.com/problems/self-dividing-numbers/solution,76.8%,,Easy,
729. My Calendar I,https://leetcode.com/problems/my-calendar-i,https://leetcode.com/problems/my-calendar-i/solution,55.0%,Medium,,
730. Count Different Palindromic Subsequences,https://leetcode.com/problems/count-different-palindromic-subsequences,,44.1%,,,Hard
731. My Calendar II,https://leetcode.com/problems/my-calendar-ii,https://leetcode.com/problems/my-calendar-ii/solution,53.1%,Medium,,
732. My Calendar III,https://leetcode.com/problems/my-calendar-iii,https://leetcode.com/problems/my-calendar-iii/solution,66.2%,,,Hard
733. Flood Fill,https://leetcode.com/problems/flood-fill,https://leetcode.com/problems/flood-fill/solution,57.8%,,Easy,
734. Sentence Similarity,https://leetcode.com/problems/sentence-similarity,,42.9%,,Easy,
735. Asteroid Collision,https://leetcode.com/problems/asteroid-collision,https://leetcode.com/problems/asteroid-collision/solution,44.4%,Medium,,
736. Parse Lisp Expression,https://leetcode.com/problems/parse-lisp-expression,,51.2%,,,Hard
737. Sentence Similarity II,https://leetcode.com/problems/sentence-similarity-ii,https://leetcode.com/problems/sentence-similarity-ii/solution,47.9%,Medium,,
738. Monotone Increasing Digits,https://leetcode.com/problems/monotone-increasing-digits,,46.8%,Medium,,
739. Daily Temperatures,https://leetcode.com/problems/daily-temperatures,https://leetcode.com/problems/daily-temperatures/solution,66.9%,Medium,,
740. Delete and Earn,https://leetcode.com/problems/delete-and-earn,https://leetcode.com/problems/delete-and-earn/solution,57.0%,Medium,,
741. Cherry Pickup,https://leetcode.com/problems/cherry-pickup,https://leetcode.com/problems/cherry-pickup/solution,36.2%,,,Hard
742. Closest Leaf in a Binary Tree,https://leetcode.com/problems/closest-leaf-in-a-binary-tree,https://leetcode.com/problems/closest-leaf-in-a-binary-tree/solution,45.5%,Medium,,
743. Network Delay Time,https://leetcode.com/problems/network-delay-time,https://leetcode.com/problems/network-delay-time/solution,48.1%,Medium,,
744. Find Smallest Letter Greater Than Target,https://leetcode.com/problems/find-smallest-letter-greater-than-target,https://leetcode.com/problems/find-smallest-letter-greater-than-target/solution,45.4%,,Easy,
745. Prefix and Suffix Search,https://leetcode.com/problems/prefix-and-suffix-search,https://leetcode.com/problems/prefix-and-suffix-search/solution,36.4%,,,Hard
746. Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs,https://leetcode.com/problems/min-cost-climbing-stairs/solution,58.1%,,Easy,
747. Largest Number At Least Twice of Others,https://leetcode.com/problems/largest-number-at-least-twice-of-others,,45.0%,,Easy,
748. Shortest Completing Word,https://leetcode.com/problems/shortest-completing-word,,58.7%,,Easy,
749. Contain Virus,https://leetcode.com/problems/contain-virus,,49.9%,,,Hard
750. Number Of Corner Rectangles,https://leetcode.com/problems/number-of-corner-rectangles,https://leetcode.com/problems/number-of-corner-rectangles/solution,67.5%,Medium,,
751. IP to CIDR,https://leetcode.com/problems/ip-to-cidr,,55.1%,Medium,,
752. Open the Lock,https://leetcode.com/problems/open-the-lock,https://leetcode.com/problems/open-the-lock/solution,55.2%,Medium,,
753. Cracking the Safe,https://leetcode.com/problems/cracking-the-safe,,54.4%,,,Hard
754. Reach a Number,https://leetcode.com/problems/reach-a-number,https://leetcode.com/problems/reach-a-number/solution,41.7%,Medium,,
755. Pour Water,https://leetcode.com/problems/pour-water,,45.4%,Medium,,
756. Pyramid Transition Matrix,https://leetcode.com/problems/pyramid-transition-matrix,,54.8%,Medium,,
757. Set Intersection Size At Least Two,https://leetcode.com/problems/set-intersection-size-at-least-two,,43.0%,,,Hard
758. Bold Words in String,https://leetcode.com/problems/bold-words-in-string,,50.0%,Medium,,
759. Employee Free Time,https://leetcode.com/problems/employee-free-time,,70.9%,,,Hard
760. Find Anagram Mappings,https://leetcode.com/problems/find-anagram-mappings,https://leetcode.com/problems/find-anagram-mappings/solution,82.6%,,Easy,
761. Special Binary String,https://leetcode.com/problems/special-binary-string,https://leetcode.com/problems/special-binary-string/solution,59.8%,,,Hard
762. Prime Number of Set Bits in Binary Representation,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation,,66.5%,,Easy,
763. Partition Labels,https://leetcode.com/problems/partition-labels,https://leetcode.com/problems/partition-labels/solution,78.7%,Medium,,
764. Largest Plus Sign,https://leetcode.com/problems/largest-plus-sign,https://leetcode.com/problems/largest-plus-sign/solution,48.6%,Medium,,
765. Couples Holding Hands,https://leetcode.com/problems/couples-holding-hands,https://leetcode.com/problems/couples-holding-hands/solution,56.4%,,,Hard
766. Toeplitz Matrix,https://leetcode.com/problems/toeplitz-matrix,https://leetcode.com/problems/toeplitz-matrix/solution,67.7%,,Easy,
767. Reorganize String,https://leetcode.com/problems/reorganize-string,,51.8%,Medium,,
768. Max Chunks To Make Sorted II,https://leetcode.com/problems/max-chunks-to-make-sorted-ii,,51.8%,,,Hard
769. Max Chunks To Make Sorted,https://leetcode.com/problems/max-chunks-to-make-sorted,,57.5%,Medium,,
770. Basic Calculator IV,https://leetcode.com/problems/basic-calculator-iv,,55.5%,,,Hard
771. Jewels and Stones,https://leetcode.com/problems/jewels-and-stones,https://leetcode.com/problems/jewels-and-stones/solution,87.6%,,Easy,
772. Basic Calculator III,https://leetcode.com/problems/basic-calculator-iii,,47.1%,,,Hard
773. Sliding Puzzle,https://leetcode.com/problems/sliding-puzzle,,63.0%,,,Hard
774. Minimize Max Distance to Gas Station,https://leetcode.com/problems/minimize-max-distance-to-gas-station,https://leetcode.com/problems/minimize-max-distance-to-gas-station/solution,50.2%,,,Hard
775. Global and Local Inversions,https://leetcode.com/problems/global-and-local-inversions,https://leetcode.com/problems/global-and-local-inversions/solution,45.4%,Medium,,
776. Split BST,https://leetcode.com/problems/split-bst,https://leetcode.com/problems/split-bst/solution,58.2%,Medium,,
777. Swap Adjacent in LR String,https://leetcode.com/problems/swap-adjacent-in-lr-string,,36.2%,Medium,,
778. Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water,https://leetcode.com/problems/swim-in-rising-water/solution,58.4%,,,Hard
779. K-th Symbol in Grammar,https://leetcode.com/problems/k-th-symbol-in-grammar,,39.8%,Medium,,
780. Reaching Points,https://leetcode.com/problems/reaching-points,https://leetcode.com/problems/reaching-points/solution,31.4%,,,Hard
781. Rabbits in Forest,https://leetcode.com/problems/rabbits-in-forest,https://leetcode.com/problems/rabbits-in-forest/solution,55.7%,Medium,,
782. Transform to Chessboard,https://leetcode.com/problems/transform-to-chessboard,https://leetcode.com/problems/transform-to-chessboard/solution,52.1%,,,Hard
783. Minimum Distance Between BST Nodes,https://leetcode.com/problems/minimum-distance-between-bst-nodes,https://leetcode.com/problems/minimum-distance-between-bst-nodes/solution,55.9%,,Easy,
784. Letter Case Permutation,https://leetcode.com/problems/letter-case-permutation,https://leetcode.com/problems/letter-case-permutation/solution,71.9%,Medium,,
785. Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite,https://leetcode.com/problems/is-graph-bipartite/solution,50.1%,Medium,,
786. K-th Smallest Prime Fraction,https://leetcode.com/problems/k-th-smallest-prime-fraction,https://leetcode.com/problems/k-th-smallest-prime-fraction/solution,48.1%,,,Hard
787. Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/solution,36.2%,Medium,,
788. Rotated Digits,https://leetcode.com/problems/rotated-digits,,57.3%,Medium,,
789. Escape The Ghosts,https://leetcode.com/problems/escape-the-ghosts,https://leetcode.com/problems/escape-the-ghosts/solution,60.1%,Medium,,
790. Domino and Tromino Tiling,https://leetcode.com/problems/domino-and-tromino-tiling,https://leetcode.com/problems/domino-and-tromino-tiling/solution,47.7%,Medium,,
791. Custom Sort String,https://leetcode.com/problems/custom-sort-string,https://leetcode.com/problems/custom-sort-string/solution,68.8%,Medium,,
792. Number of Matching Subsequences,https://leetcode.com/problems/number-of-matching-subsequences,https://leetcode.com/problems/number-of-matching-subsequences/solution,50.3%,Medium,,
793. Preimage Size of Factorial Zeroes Function,https://leetcode.com/problems/preimage-size-of-factorial-zeroes-function,https://leetcode.com/problems/preimage-size-of-factorial-zeroes-function/solution,41.5%,,,Hard
794. Valid Tic-Tac-Toe State,https://leetcode.com/problems/valid-tic-tac-toe-state,,35.1%,Medium,,
795. Number of Subarrays with Bounded Maximum,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum/solution,52.3%,Medium,,
796. Rotate String,https://leetcode.com/problems/rotate-string,https://leetcode.com/problems/rotate-string/solution,51.7%,,Easy,
797. All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target,https://leetcode.com/problems/all-paths-from-source-to-target/solution,80.7%,Medium,,
